,permalink,name,homepage_url,category_list, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
27753,/organization/mtailor,MTailor,http://mtailor.com,|E-Commerce|Fashion|Mass Customization|, Mass Customization ," 2,120,000 ",operating,,,,,2.0,,,,,2014-07-16,2014-10-23
17458,/organization/gochime,GoChime,http://www.gochime.com,|Marketing Automation|Social Media|Advertising|, Marketing Automation ," 1,048,500 ",operating,USA,NY,New York City,New York,2.0,2011-01-01,2011-01,2011-Q1,2011.0,2011-11-01,2011-12-20
26500,/organization/mibio,Mibio,http://mibio.com,|iPhone|iOS|Cloud Data Services|Startups|Technology|Mobile|, Startups ," 32,000 ",operating,USA,TN,Nashville,Nashville,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2012-11-01,2012-11-01
18717,/organization/healthyme-mobile-solutions,HealthyMe Mobile Solutions,http://healthymehub.com,|Diabetes|Hospitals|Health and Wellness|, Hospitals ," 50,000 ",operating,USA,MO,St. Louis,St Louis,1.0,2012-11-05,2012-11,2012-Q4,2012.0,2013-09-01,2013-09-01
22701,/organization/kfx-medical,KFx Medical,http://kfxmedical.com,|Health Care|, Health Care ," 6,835,500 ",operating,USA,CA,San Diego,Carlsbad,4.0,,,,,2009-09-01,2011-05-09
9065,/organization/cobra-stylet,Cobra Stylet,http://www.cobraintroducer.com,|Manufacturing|, Manufacturing ," 500,000 ",operating,USA,KY,Louisville,Louisville,1.0,,,,,2012-01-01,2012-01-01
50547,,,,,,,,,,,,,,,,,,
7026,/organization/campus-society,Campus Society,http://www.campussociety.com,,," 1,300,000 ",operating,,,,,1.0,2013-03-01,2013-03,2013-Q1,2013.0,2014-01-01,2014-01-01
26750,/organization/mindshare-networks-2,MindShare Networks,http://mindsharenetworks.com,|Software|, Software ," 235,000 ",operating,USA,ID,ID - Other,Eagle,2.0,2011-01-01,2011-01,2011-Q1,2011.0,2012-01-05,2012-05-18
31088,/organization/oxford-performance-materials,Oxford Performance Materials,http://www.oxfordpm.com,|Clean Technology|, Clean Technology ," 1,200,000 ",operating,USA,CT,Hartford,South Windsor,1.0,2000-01-01,2000-01,2000-Q1,2000.0,2011-08-04,2011-08-04
37275,/organization/secoo,Secoo,http://www.secoo.com,|E-Commerce|, E-Commerce ," 150,000,000 ",operating,CHN,,Shanghai,Shanghai,4.0,,,,,2011-07-01,2014-07-21
43757,/organization/tracemyway,traceMyWay,http://tracemyway.com,|Software|Apps|Mobile|Curated Web|, Software ," 335,747 ",operating,ESP,,Valencia,Valencia,1.0,2011-01-01,2011-01,2011-Q1,2011.0,2013-02-08,2013-02-08
38293,/organization/sigmatix,Sigmatix,http://sigmatix.com,|Software|, Software ," 650,998 ",operating,USA,MA,Boston,Stoneham,1.0,2009-01-01,2009-01,2009-Q1,2009.0,2008-10-29,2008-10-29
38467,/organization/simpleorder,SimpleOrder,http://simpleorder.co,|Business Services|, Business Services ," 25,000 ",,,,,,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2013-12-01,2013-12-01
22459,/organization/kaola100,Kaola100,http://www.kaola100.com,|Education|, Education ," 634,786 ",operating,CHN,,Zhengzhou,Zhengzhou,1.0,2012-10-01,2012-10,2012-Q4,2012.0,2006-11-01,2006-11-01
28292,/organization/nano-terra,Nano Terra,http://www.nanoterra.com,|Biotechnology|, Biotechnology ," 26,438,098 ",operating,USA,MA,Boston,Cambridge,4.0,2005-01-01,2005-01,2005-Q1,2005.0,2010-12-14,2014-10-23
34234,/organization/qijia-science-and-technology,Qijia Science and Technology,http://www.gigahome.cn,|E-Commerce|, E-Commerce ," 162,954 ",operating,,,,,1.0,,,,,2014-03-01,2014-03-01
7859,/organization/cervalis,Cervalis,http://www.cervalis.com,|Web Hosting|, Web Hosting ," 75,000,000 ",operating,USA,CT,Hartford,Shelton,1.0,2000-01-01,2000-01,2000-Q1,2000.0,2012-08-13,2012-08-13
51123,,,,,,,,,,,,,,,,,,
46280,/organization/virtual-tweens-ltd,virtual tweens ltd,,,, -   ,,,,,,1.0,,,,,2013-09-01,2013-09-01
18274,/organization/h-d-wireless,H&D Wireless,http://www.hd-wireless.se,|Mobile|, Mobile ," 1,811,764 ",operating,SWE,,Stockholm,Kista,1.0,,,,,2011-06-30,2011-06-30
37700,/organization/serious-business,Serious Business,http://www.seriousbusiness.com,|Social Games|Facebook Applications|Games|, Facebook Applications ," 4,000,000 ",acquired,USA,CA,SF Bay Area,San Francisco,1.0,2008-02-01,2008-02,2008-Q1,2008.0,2008-04-25,2008-04-25
16869,/organization/geofeedia-inc,Geofeedia,http://geofeedia.com,|Media|Social Media|SaaS|Social Media Monitoring|Location Based Services|Local Based Services|Analytics|, Social Media Monitoring ," 3,790,000 ",operating,USA,IL,Chicago,Chicago,2.0,2011-07-01,2011-07,2011-Q3,2011.0,2011-07-01,2014-10-15
14658,/organization/eznetpay,ezNetPay,http://www.eznetpay.com,|Software|, Software ," 1,000,000 ",operating,USA,IA,Des Moines,Des Moines,1.0,2005-01-01,2005-01,2005-Q1,2005.0,2014-02-10,2014-02-10
51515,,,,,,,,,,,,,,,,,,
1926,/organization/allakos,Allakos,http://www.allakos.com,|Biotechnology|, Biotechnology ," 44,499,997 ",operating,USA,CA,SF Bay Area,San Mateo,3.0,2012-01-01,2012-01,2012-Q1,2012.0,2012-12-20,2014-09-30
28134,/organization/mysalescamp,MySalescamp,http://www.mysalescamp.com,|B2B|Lead Generation|Sales and Marketing|Software|, Software ," 280,000 ",operating,USA,CA,SF Bay Area,Mountain View,1.0,2012-10-01,2012-10,2012-Q4,2012.0,2013-02-08,2013-02-08
23316,/organization/kynetx,Kynetx,http://www.kynetx.com,|Advertising|E-Commerce|Apps|User Experience Design|Web Development|Customer Service|Software|, Advertising ," 2,281,250 ",operating,USA,UT,Salt Lake City,Lehi,2.0,2007-08-01,2007-08,2007-Q3,2007.0,2009-08-25,2009-10-29
50016,,,,,,,,,,,,,,,,,,
52873,,,,,,,,,,,,,,,,,,
16716,/organization/gencell-biosystems,GenCell Biosystems,http://www.gencellbio.com,|Clinical Trials|Health Care|Genetic Testing|Biotechnology|, Health Care ," 3,473,820 ",acquired,FRA,,Picardie,Irles,1.0,2011-01-01,2011-01,2011-Q1,2011.0,2014-01-27,2014-01-27
17898,/organization/greengo-energy-a-s,GreenGo Energy A/S,http://www.greengoenergy.com,|Clean Technology|, Clean Technology , -   ,operating,DNK,,Hørsholm,Hørsholm,1.0,2011-03-22,2011-03,2011-Q1,2011.0,2012-12-12,2012-12-12
32011,/organization/pet360,Pet360,http://www.Pet360.com,|Pets|, Pets ," 18,000,000 ",operating,USA,PA,Philadelphia,Plymouth Meeting,1.0,2011-01-15,2011-01,2011-Q1,2011.0,2011-06-28,2011-06-28
29203,/organization/nfoshare,Nfoshare,http://nfoshare.com,|Education|, Education ," 100,000 ",operating,,,,,1.0,2011-06-15,2011-06,2011-Q2,2011.0,2013-09-01,2013-09-01
19533,/organization/hyasynth-bio,Hyasynth Bio,http://hyasynthbio.com,|Pharmaceuticals|, Pharmaceuticals ," 60,000 ",operating,,,,,1.0,2014-03-14,2014-03,2014-Q1,2014.0,2014-05-20,2014-05-20
15684,/organization/fluttr,Fluttr,http://www.gofluttr.com,|Advertising Platforms|Events|, Events ," 170,000 ",operating,,,,,1.0,2014-08-01,2014-08,2014-Q3,2014.0,2014-08-05,2014-08-05
15088,/organization/fewzion,Fewzion,http://fewzion.com,,," 29,358 ",operating,AUS,,Sydney,Newcastle,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2013-06-14,2013-06-14
50206,,,,,,,,,,,,,,,,,,
51804,,,,,,,,,,,,,,,,,,
39990,/organization/speso-health,SpeSo Health,http://www.spesohealth.com,|Health Care|, Health Care , -   ,operating,USA,NY,NY - Other,Philadelphia,1.0,2013-01-01,2013-01,2013-Q1,2013.0,2013-04-04,2013-04-04
50649,,,,,,,,,,,,,,,,,,
10780,/organization/cymax,Cymax,http://www.cymax.com,|E-Commerce|, E-Commerce , -   ,operating,CAN,BC,Burnaby,Burnaby,1.0,2004-12-10,2004-12,2004-Q4,2004.0,2011-08-03,2011-08-03
6587,/organization/building-our-community,Building Our Community,,|Entertainment|Games|, Entertainment ," 200,000 ",operating,USA,FL,Tampa,Tampa,1.0,2011-09-11,2011-09,2011-Q3,2011.0,2014-06-18,2014-06-18
33661,/organization/progenesis-technologies,PROGENESIS TECHNOLOGIES,http://www.progenesistech.com,|Biotechnology|, Biotechnology ," 100,000 ",operating,USA,OH,OH - Other,South Charleston,1.0,,,,,2010-07-15,2010-07-15
48740,/organization/youxiduo,Youxiduo,http://www.youxiduo.com/,|Mobile|, Mobile ," 1,647,446 ",operating,,,,,1.0,,,,,2014-01-01,2014-01-01
23603,/organization/leadcloud,LeadCloud,http://leadcloud.us,|Advertising|, Advertising ," 1,000,000 ",operating,USA,MD,Baltimore,Ellicott City,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2014-08-19,2014-08-19
8714,/organization/clickganic,ClickGanic,http://clickganic.com,|Advertising|, Advertising ," 320,000 ",operating,UKR,,Odessa,Odessa,2.0,2014-02-01,2014-02,2014-Q1,2014.0,2014-04-13,2014-07-13
37849,/organization/synacast,Shanghai SynaCast Media,,|Web Hosting|, Web Hosting ," 11,717,309 ",operating,CHN,,Shanghai,Shanghai,1.0,,,,,2009-08-26,2009-08-26
28409,/organization/naseeb-networks,Naseeb Networks,http://naseeb.com,|Curated Web|, Curated Web ," 2,000,000 ",operating,PAK,,Lahore,Lahore,3.0,2003-01-01,2003-01,2003-Q1,2003.0,2003-12-01,2012-04-01
45364,/organization/uvlrx-therapeutics,UVLrx Therapeutics,http://uvlrx.com,|Biotechnology|, Biotechnology ," 533,000 ",operating,USA,CA,Santa Barbara,Santa Barbara,2.0,2011-01-01,2011-01,2011-Q1,2011.0,2013-09-23,2014-02-07
9442,/organization/commutepays,CommutePays,http://www.commutepays.com,|Incentives|Promotional|SEO|Lifestyle|Mobile|, Lifestyle ," 1,100,000 ",operating,USA,CA,SF Bay Area,San Francisco,2.0,,,,,2011-02-20,2012-09-01
43987,/organization/travelata,Travelata,http://travelata.ru,|Travel|, Travel ," 12,500,000 ",operating,RUS,,Moscow,Moscow,3.0,2011-01-01,2011-01,2011-Q1,2011.0,2012-11-01,2014-07-10
985,/organization/adbrite,adBrite,http://allthingsd.com/20130128/sales-talks-fell-through-so-ad-exchange-adbrite-shuts-down/,|Auctions|Publishing|Advertising|, Publishing ," 40,400,000 ",acquired,USA,CA,SF Bay Area,San Francisco,4.0,2003-01-01,2003-01,2003-Q1,2003.0,2004-09-01,2012-05-01
21996,/organization/jianshu,Jianshu,http://jianshu.io,|Consumers|, Consumers ," 806,000 ",operating,CHN,,CHN - Other,,1.0,,,,,2014-07-09,2014-07-09
21486,/organization/ips-game-farmers,IPS Game Farmers,,|Hospitality|, Hospitality , -   ,operating,ZAF,,Johannesburg,Pretoria,1.0,2011-08-23,2011-08,2011-Q3,2011.0,2014-07-26,2014-07-26
40211,/organization/sportybird,SportyBird,http://www.sportybird.io,|Social Media|Analytics|Sports|, Social Media ," 95,000 ",operating,USA,TX,San Antonio,San Antonio,2.0,2012-09-30,2012-09,2012-Q3,2012.0,2013-01-15,2013-08-08
30030,/organization/oferton-liveshopping,Oferton Liveshopping,http://oooferton.com,,, -   ,operating,,,,,1.0,,,,,2010-07-20,2010-07-20
9583,/organization/condogala,CondoGala,http://www.condogala.com,|Real Estate|, Real Estate , -   ,operating,,,,,1.0,2008-10-01,2008-10,2008-Q4,2008.0,2008-01-01,2008-01-01
43924,/organization/translattice,TransLattice,http://www.TransLattice.com,|Public Transportation|, Public Transportation ," 19,026,410 ",operating,USA,CA,SF Bay Area,Santa Clara,2.0,2007-01-01,2007-01,2007-Q1,2007.0,2008-08-05,2010-11-01
53688,,,,,,,,,,,,,,,,,,
47583,/organization/wikidot,Wikidot,http://www.wikidot.com,|Collaboration|Social Media|Web Tools|Web Hosting|, Web Tools , -   ,operating,POL,,POL - Other,Torun Polnocny,1.0,2007-01-01,2007-01,2007-Q1,2007.0,2007-01-01,2007-01-01
52291,,,,,,,,,,,,,,,,,,
24231,/organization/liquefied-natural-gas,Liquefied Natural Gas,http://lnglimited.com.au,|Clean Technology|, Clean Technology ," 15,200,000 ",,AUS,,Perth,Perth,2.0,,,,,2013-12-12,2014-03-12
11463,/organization/designpax,DesignPax,http://www.designpax.com,|Web Design|Email|Graphics|E-Commerce|, Email ," 50,000 ",operating,USA,NY,New York City,New York,1.0,2010-01-01,2010-01,2010-Q1,2010.0,2009-01-01,2009-01-01
11759,/organization/digonex-technologies,Digonex Technologies,http://digonex.com,|Software|, Software ," 26,228,682 ",operating,USA,IN,Indianapolis,Indianapolis,3.0,2000-01-01,2000-01,2000-Q1,2000.0,2005-03-20,2014-06-30
42396,/organization/tenbu-technologies,TenBu Technologies,http://www.bluenio.com,|Mobile Security|Apps|Security|Mobile Software Tools|Mobile|Hardware + Software|, Mobile ," 843,350 ",operating,GBR,,Edinburgh,Edinburgh,1.0,2007-01-01,2007-01,2007-Q1,2007.0,2007-01-01,2007-01-01
474,/organization/a-pooches-pleasure,A Pooches Pleasure,,|Hospitality|, Hospitality , -   ,operating,USA,VA,VA - Other,,1.0,,,,,2013-06-05,2013-06-05
45979,/organization/vicino,Vicino,http://vicino.com,|Social Media|, Social Media ," 600,000 ",closed,USA,CA,Los Angeles,Santa Monica,1.0,2012-03-01,2012-03,2012-Q1,2012.0,2013-01-01,2013-01-01
50126,,,,,,,,,,,,,,,,,,
35065,/organization/recepta-biopharma,RECEPTA biopharma,http://www.receptabiopharma.com.br,|Biotechnology|, Biotechnology ," 2,500,000 ",operating,,,,,1.0,,,,,2007-06-15,2007-06-15
19363,/organization/hotswap,Hotswap,http://www.hotswap.com,|Cars|E-Commerce|, E-Commerce ," 1,000,000 ",closed,USA,CA,SF Bay Area,Berkeley,1.0,,,,,2007-01-01,2007-01-01
27398,/organization/monetize-plus,MonetizePlus,http://www.monetizeplus.com,|Mobile|, Mobile , -   ,operating,GBR,,London,London,1.0,,,,,2014-09-15,2014-09-15
32028,/organization/petra-solar,Petra Systems,http://www.petrasystems.com/,|Clean Technology|, Clean Technology ," 39,999,987 ",,USA,NJ,Newark,South Plainfield,1.0,2006-01-01,2006-01,2006-Q1,2006.0,2010-02-08,2010-02-08
24127,/organization/linchpin,Linchpin,http://linchpin.net,|Email Marketing|CRM|Internet Marketing|Lead Generation|Automotive|Advertising|, Advertising ," 10,000 ",operating,,,,,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2013-07-01,2013-07-01
33865,/organization/prothera-biologics,ProThera Biologics,http://www.protherabiologics.com,|Biotechnology|, Biotechnology ," 750,000 ",operating,USA,RI,Providence,East Providence,1.0,2001-01-01,2001-01,2001-Q1,2001.0,2012-09-05,2012-09-05
34963,/organization/real-food-blends,Real Food Blends,http://realfoodblends.com/about/,|Food Processing|, Food Processing ," 550,000 ",operating,USA,IL,Chicago,Chicago,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2014-07-15,2014-07-15
46775,/organization/vuid-inc,"VUID, Inc.",http://www.vuid.co,|Media|Social Media|, Media ," 200,000 ",operating,USA,PA,Philadelphia,Philadelphia,1.0,2013-06-03,2013-06,2013-Q2,2013.0,2013-11-15,2013-11-15
4482,/organization/bastille-networks-2,Bastille Networks,http://www.bastillenetworks.com,|Information Security|Security|Cyber Security|, Cyber Security ," 2,000,000 ",operating,USA,GA,Atlanta,Atlanta,1.0,2014-03-20,2014-03,2014-Q1,2014.0,2014-09-10,2014-09-10
6485,/organization/broken-envelope-productions,Broken Envelope Productions,https://www.flootball.com/,|Entertainment|Games|, Games , -   ,operating,USA,SC,Myrtle Beach,Conway,1.0,2012-12-19,2012-12,2012-Q4,2012.0,2014-07-18,2014-07-18
20036,/organization/ilist,iList,http://ilist.com,|Networking|Classifieds|E-Commerce|, E-Commerce ," 1,500,000 ",acquired,,,,,1.0,,,,,2008-08-01,2008-08-01
44866,/organization/ulabox,Ulabox,http://www.ulabox.com,|Discounts|Retail|E-Commerce|, E-Commerce ," 1,098,900 ",operating,ESP,,Barcelona,Barcelona,1.0,2010-10-15,2010-10,2010-Q4,2010.0,2011-06-07,2011-06-07
42825,/organization/the-news-lens,The News Lens,http://www.thenewslens.com,|Social Media|News|, Social Media , -   ,operating,TWN,,Taiwan,Taipei,1.0,2013-08-01,2013-08,2013-Q3,2013.0,2013-12-11,2013-12-11
48846,/organization/zalp,ZALP,http://www.zalp.com,|Career Management|Social Media|Software|, Software , -   ,operating,,,,,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2012-01-01,2012-01-01
37067,/organization/scoo-mobility,scoo mobility,http://www.scoo.me,|Transportation|, Transportation ," 66,991 ",operating,DEU,,Munich,Munich,1.0,2014-05-22,2014-05,2014-Q2,2014.0,2014-07-31,2014-07-31
52934,,,,,,,,,,,,,,,,,,
10245,/organization/creativ-media-group,CREATIV™ Media Group,,|Advertising|, Advertising ," 600,000 ",operating,USA,CA,Los Angeles,Santa Monica,2.0,2013-01-01,2013-01,2013-Q1,2013.0,2013-05-01,2014-02-01
13531,/organization/endurance-lending-network,Endurance Lending Network,http://www.enduranceln.com,|Finance Technology|Crowdfunding|Peer-to-Peer|Finance|, Finance Technology ," 1,500,000 ",acquired,USA,CA,SF Bay Area,San Francisco,1.0,2011-12-01,2011-12,2011-Q4,2011.0,2012-05-01,2012-05-01
35944,/organization/rightnow-technologies,RightNow Technologies,http://www.rightnow.com,|Customer Service|CRM|SaaS|Software|, Software , -   ,acquired,USA,MT,Bozeman,Bozeman,1.0,1997-01-01,1997-01,1997-Q1,1997.0,1999-12-13,1999-12-13
32691,/organization/imageids,PlayerTakesAll,http://www.playertakesall.com,|Advertising|, Advertising ," 48,957 ",closed,,,,,2.0,2011-04-01,2011-04,2011-Q2,2011.0,2011-04-01,2011-08-01
16465,/organization/gamar,Gamar,http://gamar.com,|Educational Games|Augmented Reality|Games|, Educational Games , -   ,operating,GBR,,London,London,1.0,2013-09-01,2013-09,2013-Q3,2013.0,2014-01-31,2014-01-31
12209,/organization/dove-innovation-and-management-group-inc,Dove Innovation and Management,,|Manufacturing|Software|, Manufacturing , -   ,operating,CAN,BC,Surrey,Surrey,1.0,1979-05-04,1979-05,1979-Q2,1979.0,2013-07-08,2013-07-08
53822,,,,,,,,,,,,,,,,,,
38119,/organization/buyreply,ShopReply,http://www.shopreply.com,|Payments|Sales and Marketing|Advertising|E-Commerce|, Sales and Marketing ," 6,860,000 ",operating,AUS,,Sydney,Sydney,3.0,2011-12-01,2011-12,2011-Q4,2011.0,2011-12-31,2013-05-01
2731,/organization/apozy,Apozy,http://www.apozy.com,|Gamification|SaaS|Cloud Computing|Enterprises|Information Security|Training|Security|, Gamification ," 250,000 ",operating,USA,CA,SF Bay Area,San Francisco,2.0,2012-04-01,2012-04,2012-Q2,2012.0,2013-09-15,2014-08-30
26662,/organization/milk-a-deal,Milk A Deal,http://www.milkadeal.com,|Group Buying|Curated Web|, Curated Web ," 165,000 ",operating,MYS,,Kuala Lumpur,Kuala Lumpur,1.0,2011-01-01,2011-01,2011-Q1,2011.0,2011-06-01,2011-06-01
20350,/organization/ind-lifetech-china-co-ltd,IND Lifetech,http://www.indlifetech.com.cn,|Manufacturing|, Manufacturing , -   ,operating,CHN,,CHN - Other,Pingdu,2.0,2002-02-01,2002-02,2002-Q1,2002.0,2010-10-01,2011-02-01
32005,/organization/pesco-beam-environmental-solutions,Pesco-Beam Environmental Solutions,http://pescova.com,|Clean Technology|, Clean Technology ," 8,000,000 ",operating,USA,VA,Roanoke,Roanoke,1.0,,,,,2007-11-21,2007-11-21
46245,/organization/viropro,Viropro,http://www.viropro.com,|Medical|Bio-Pharm|Manufacturing|, Manufacturing ," 500,000 ",operating,,,,,1.0,,,,,2014-08-25,2014-08-25
14428,/organization/executive-caddie,Executive Caddie,,|Windows Phone 7|iPhone|Sports|Software|, iPhone ," 3,000,000 ",operating,USA,CA,SF Bay Area,Mountain View,1.0,,,,,2004-01-01,2004-01-01
2967,/organization/appzero,AppZero,http://www.appzero.com,|Video|Cloud Computing|Software|, Video ," 3,000,000 ",operating,USA,MA,Boston,Andover,1.0,2009-01-01,2009-01,2009-Q1,2009.0,2014-03-05,2014-03-05
40071,/organization/lifekraze,Spire,http://spire.me,|Lifestyle|Apps|Corporate Wellness|Mobile|Social Media|Health and Wellness|, Apps ," 1,250,000 ",operating,USA,TN,Chattanooga,Chattanooga,1.0,2010-01-01,2010-01,2010-Q1,2010.0,2011-01-11,2011-01-11
17569,/organization/good-times-restaurants,Good Times Restaurants,http://goodtimesburgers.com,|Hospitality|, Hospitality ," 5,500,000 ",operating,USA,CO,Denver,Golden,1.0,1992-01-01,1992-01,1992-Q1,1992.0,2013-08-21,2013-08-21
21405,/organization/ion-signature,ION Signature,http://www.ionsigtech.com,,, -   ,operating,JPN,,JPN - Other,,1.0,,,,,2005-09-01,2005-09-01
51040,,,,,,,,,,,,,,,,,,
3924,/organization/avandeo,avandeo,http://www.avandeo.de,|E-Commerce|, E-Commerce , -   ,operating,DEU,,Munich,Munich,1.0,2009-01-01,2009-01,2009-Q1,2009.0,2012-10-19,2012-10-19
46618,/organization/volly,Volly,http://vol.ly,|Networking|Career Planning|Events|Real Time|Mobile|, Mobile ," 400,000 ",acquired,USA,CA,Los Angeles,Los Angeles,1.0,2010-04-01,2010-04,2010-Q2,2010.0,2010-07-23,2010-07-23
19688,/organization/ibabybox,ibabybox,http://www.ibabybox.com,|Social Media|, Social Media ," 25,000 ",closed,USA,CA,SF Bay Area,Palo Alto,1.0,2013-01-01,2013-01,2013-Q1,2013.0,2013-03-01,2013-03-01
45357,/organization/uucun,UUCUN,http://www.uucun.com/,|Advertising|, Advertising ," 60,000,000 ",operating,,,,,4.0,,,,,2009-07-01,2013-08-01
10456,/organization/crowdtangle,CrowdTangle,http://crowdtangle.com,|Nonprofits|Facebook Applications|Social Media|Apps|, Apps ," 2,200,000 ",operating,USA,MD,Baltimore,Baltimore,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2014-05-07,2014-05-07
26177,/organization/memc-electronic-materials,MEMC Electronic Materials,http://www.memc.com,|Semiconductors|, Semiconductors ," 60,000,000 ",operating,USA,MO,MO - Other,O Fallon,1.0,1984-01-01,1984-01,1984-Q1,1984.0,2009-12-04,2009-12-04
12823,/organization/ecogroomer,EcoGroomer,http://ecogroomer.com,|Curated Web|, Curated Web ," 295,000 ",operating,USA,FL,Tampa,Seminole,1.0,2011-01-01,2011-01,2011-Q1,2011.0,2013-11-04,2013-11-04
39710,/organization/soum,Soum,,,," 51,250 ",operating,USA,TX,Houston,Sugar Land,1.0,2010-01-01,2010-01,2010-Q1,2010.0,2012-01-03,2012-01-03
34683,/organization/radio-next,Radio NEXT,http://www.radionext.az,|Internet Radio Market|Music|, Music ," 2,000 ",operating,,,,,1.0,2008-04-04,2008-04,2008-Q2,2008.0,2009-04-04,2009-04-04
4056,/organization/awarelabs,Aware Labs,http://www.awarelabs.com,|Collaboration|Task Management|Guides|Startups|Sales and Marketing|Public Relations|Advertising|, Collaboration , -   ,operating,USA,AZ,Phoenix,Winkelman,1.0,2013-01-01,2013-01,2013-Q1,2013.0,2007-07-01,2007-07-01
49114,/organization/zhou-heiya,Zhou Heiya,,|E-Commerce|, E-Commerce ," 32,292,287 ",operating,CHN,,Wuhan,Wuhan,2.0,1997-01-01,1997-01,1997-Q1,1997.0,2010-11-01,2012-07-01
19702,/organization/ibloom-technologies,iBloom Technologies,http://www.HelloExpert.com,|Curated Web|, Curated Web , -   ,closed,IND,,Ahmedabad,Ahmedabad,1.0,2009-05-01,2009-05,2009-Q2,2009.0,2009-05-01,2009-05-01
24080,/organization/likehack,Likehack,http://likehack.com,|Content|Curated Web|News|Personalization|Social Media|Analytics|, Social Media ," 295,208 ",operating,RUS,,St. Petersburg,Saint Petersburg,3.0,2012-04-01,2012-04,2012-Q2,2012.0,2012-09-01,2012-12-19
30352,/organization/onerecovery,OneHealth Solutions,http://www.onehealth.com,|Game Mechanics|Social Network Media|Health Care|Health and Wellness|, Game Mechanics ," 16,000,000 ",acquired,USA,CA,San Diego,Solana Beach,2.0,2007-01-01,2007-01,2007-Q1,2007.0,2010-07-28,2013-04-02
39584,/organization/somalogic,SomaLogic,http://somalogic.com,|Biotechnology|, Biotechnology ," 47,499,993 ",operating,USA,CO,Denver,Boulder,5.0,1999-01-01,1999-01,1999-Q1,1999.0,2010-08-20,2014-11-17
35786,/organization/revinate,Revinate,http://www.revinate.com,|Social Media Marketing|Hospitality|Hotels|Social Media|Enterprise Software|, Social Media ," 15,200,000 ",operating,USA,CA,SF Bay Area,San Francisco,3.0,2009-01-01,2009-01,2009-Q1,2009.0,2009-10-21,2012-07-25
51653,,,,,,,,,,,,,,,,,,
31215,/organization/pagevamp,Pagevamp,http://www.Pagevamp.com,|Social Media|Facebook Applications|Web CMS|Software|, Social Media ," 20,000 ",operating,USA,NY,New York City,New York,1.0,2013-01-01,2013-01,2013-Q1,2013.0,2013-06-19,2013-06-19
21939,/organization/jdlab,JDLab,http://www.iueditor.org,|Web Presence Management|Domains|Web Tools|Web Development|, Web Development ," 1,000,000 ",operating,,,,,1.0,2013-12-24,2013-12,2013-Q4,2013.0,2014-01-31,2014-01-31
34596,/organization/shenzhen-qvod-technology-co-ltd,QVOD Technology,http://www.qvod.com,|Software|, Software ," 4,000,000 ",operating,CHN,,Shenzhen,Shenzhen,2.0,,,,,2010-10-01,2011-01-01
32366,/organization/pin-or-peg,Pin or Peg,http://pinorpeg.com,|Reviews and Recommendations|Social Buying|Fashion|Social Commerce|E-Commerce|, Reviews and Recommendations ," 15,580 ",closed,GBR,,Newcastle,Newcastle Upon Tyne,1.0,,,,,2011-10-01,2011-10-01
14403,/organization/excel-business-intelligence,Excel Business Intelligence,http://xlbin.com,|Startups|Business Services|Curated Web|, Startups ," 1,000 ",operating,USA,WY,Cheyenne,Cheyenne,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2013-09-25,2013-09-25
38576,/organization/sionex,Sionex,http://www.sionex.com,|Hardware + Software|, Hardware + Software ," 12,000,000 ",closed,USA,MA,Boston,Bedford,1.0,2001-01-01,2001-01,2001-Q1,2001.0,2005-12-07,2005-12-07
21860,/organization/jakks-pacific,Jakks Pacific,http://jakks.com,|E-Commerce|, E-Commerce ," 75,000,000 ",,USA,CA,Los Angeles,Malibu,1.0,1995-01-01,1995-01,1995-Q1,1995.0,2014-03-31,2014-03-31
27715,/organization/mpgomatic-com,MPGomatic.com,http://www.mpgomatic.com,|Automotive|Clean Technology|, Clean Technology ," 10,000 ",operating,USA,NJ,Newark,Skillman,1.0,2007-06-01,2007-06,2007-Q2,2007.0,2007-06-01,2007-06-01
32276,/organization/pickpark,PickPark,http://pickpark.com,|Software|, Software ," 15,574 ",closed,DEU,,DEU - Other,Würzberg,1.0,2008-08-02,2008-08,2008-Q3,2008.0,2008-08-01,2008-08-01
52943,,,,,,,,,,,,,,,,,,
38234,/organization/side-cr,Side.Cr,http://www.side.cr,|Mobile|, Mobile ," 35,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,5.0,2012-02-01,2012-02,2012-Q1,2012.0,2011-12-01,2014-09-15
14454,/organization/exie,Exie,http://www.exie.com,|Software|, Software ," 2,610,000 ",operating,NOR,,Oslo,Oslo,1.0,1997-01-01,1997-01,1997-Q1,1997.0,2007-05-01,2007-05-01
